N,P,K,temperature,humidity,ph,rainfall,label
35,62,71,21.67,15.71,7.14,66.44,chickpea
15,52,23,28.51,90.76,6.01,54.68,mungbean
66,62,47,22.59,73.43,7.18,216.56,rice
24,16,8,29.01,87.93,6.96,124.5,orange
19,50,20,24.29,38.21,6.51,53.29,lentil
97,28,44,25.05,87.83,6.47,44.17,watermelon
26,47,30,28.09,47.67,6.78,44.09,mothbeans
17,59,21,23.51,60.25,5.6,144.44,pigeonpeas
17,27,19,27.02,86.95,6.44,46.8,mungbean
51,40,38,15.28,62.35,5.4,49.21,sunflower
18,59,21,23.25,20.33,6.56,87.96,kidneybeans
90,83,56,28.95,80.04,5.43,119.56,banana
27,22,29,30.64,40.66,5.64,116.62,mango
125,38,17,29.67,77.97,6.68,97.56,cotton
18,13,31,28.22,92.3,4.52,166.92,coconut
23,26,28,33.31,44.07,5.63,101.82,mango
34,72,72,18.18,19.23,6.86,77.56,chickpea
27,129,204,25.86,87.62,6.34,76.93,grapes
21,131,209,29.81,74.55,5.88,79.47,grapes
32,56,89,19.02,12.31,7.09,59.61,chickpea
121,59,25,21.23,92.09,6.99,98.69,cotton
36,58,19,31.77,70.75,6.58,56.54,groundnut
49,57,51,35.9,89.29,6.47,162.99,papaya
20,64,20,23.93,21.63,5.71,128.88,kidneybeans
14,52,18,17.73,23.12,4.83,103.23,kidneybeans
42,44,51,20.74,69.49,6.28,64.66,onion
121,41,20,23.44,73.0,7.07,60.07,cotton
14,8,39,25.55,95.45,7.2,48.6,pomegranate
32,49,28,30.63,46.72,7.75,39.44,mothbeans
71,44,40,21.0,62.17,5.72,96.35,maize
74,58,43,19.28,67.69,6.21,92.5,potato
16,61,14,26.37,60.65,7.76,37.77,lentil
36,58,15,24.46,71.78,6.62,56.67,groundnut
32,75,20,21.16,28.8,5.73,110.15,kidneybeans
93,62,32,18.64,65.99,5.32,94.85,maize
19,72,24,23.65,58.46,7.24,46.85,lentil
57,55,39,43.85,94.35,6.69,167.38,papaya
15,51,20,22.38,49.02,6.57,48.41,lentil
24,81,15,31.23,32.64,5.28,110.82,pigeonpeas
19,64,14,17.77,21.42,6.75,118.29,kidneybeans
20,126,200,20.95,94.71,6.11,123.62,apple
62,51,88,17.48,20.86,7.18,64.0,chickpea
97,64,36,28.93,82.72,6.18,118.42,banana
21,33,27,34.62,43.57,6.37,42.46,mothbeans
7,5,34,31.04,97.71,6.16,179.47,coconut
44,52,54,26.72,52.15,6.5,51.53,onion
23,47,36,26.78,44.57,6.71,56.0,mothbeans
111,35,18,22.4,82.98,6.98,89.42,cotton
16,67,18,23.35,51.49,6.43,68.9,lentil
79,44,39,24.32,84.7,6.81,173.9,jute
12,13,45,17.29,88.83,6.21,47.48,pomegranate
92,19,55,22.38,93.57,6.18,23.46,muskmelon
90,36,34,25.55,84.57,6.76,335.58,rice
43,62,16,31.63,61.39,6.87,77.64,groundnut
49,28,62,20.22,62.77,6.83,75.38,onion
30,41,17,24.58,45.8,6.48,51.14,mothbeans
48,57,25,29.42,73.83,6.99,77.07,blackgram
98,23,34,22.24,74.0,5.72,137.29,coffee
93,18,55,27.64,87.18,6.16,56.57,watermelon
59,46,35,17.44,60.45,7.01,98.59,wheat
71,36,35,18.96,47.26,6.98,99.61,wheat
26,33,30,28.21,40.16,5.85,92.5,mango
74,53,43,23.94,82.59,7.14,202.25,rice
94,53,39,24.84,76.37,7.72,223.88,rice
28,50,17,29.97,49.1,7.96,48.16,mothbeans
18,20,26,31.97,50.49,6.76,101.22,mango
77,46,40,24.84,59.59,6.4,75.43,maize
54,61,34,21.16,70.94,6.69,71.76,barley
13,69,10,21.85,55.91,6.3,128.85,pigeonpeas
104,14,48,24.99,91.02,6.05,62.52,watermelon
24,46,20,27.61,90.64,6.15,41.94,mungbean
90,14,35,31.02,95.81,6.27,22.62,muskmelon
121,55,18,20.49,79.37,6.67,88.92,cotton
24,6,24,19.63,85.63,7.24,58.16,pomegranate
69,48,47,19.96,47.39,7.39,127.6,wheat
27,136,198,20.37,78.59,6.58,70.15,grapes
29,63,81,16.64,15.91,6.96,73.79,chickpea
46,64,56,16.88,11.81,6.35,56.44,chickpea
30,60,21,28.98,52.74,6.61,69.71,groundnut
114,61,13,28.38,86.08,7.76,56.18,cotton
110,56,12,23.0,76.52,6.54,75.8,cotton
72,44,29,20.62,65.2,6.76,136.93,wheat
22,139,206,21.74,76.17,5.27,76.88,grapes
23,142,198,19.42,94.04,5.85,119.31,apple
100,14,51,20.84,94.19,6.52,44.79,watermelon
19,59,13,24.76,33.83,5.94,118.03,pigeonpeas
30,149,214,33.69,77.39,5.59,63.11,grapes
23,18,4,23.76,94.85,7.11,92.05,orange
40,62,78,18.24,10.0,7.18,60.3,chickpea
34,125,189,24.35,94.12,6.39,138.34,apple
25,24,28,28.01,44.06,6.06,100.11,mango
88,80,62,30.81,94.33,5.64,156.48,banana
80,56,41,21.7,63.57,5.76,77.6,maize
26,23,14,22.67,89.91,6.94,136.77,orange
83,96,54,27.42,83.08,6.28,97.19,banana
58,66,44,26.15,83.84,6.21,71.45,tomato
63,42,47,17.12,69.98,6.53,105.58,wheat
43,58,63,20.06,51.42,6.72,58.95,onion
25,139,224,27.92,81.58,6.69,53.08,grapes
24,59,26,20.94,55.5,7.53,38.88,lentil
18,29,25,28.77,41.01,6.82,107.96,mango
71,41,39,24.0,85.81,7.22,187.88,jute
34,120,216,24.66,81.35,5.23,72.15,grapes
101,60,43,25.64,76.02,6.08,96.79,banana
59,59,48,15.43,60.76,6.48,65.65,barley
66,38,29,21.48,56.26,6.94,99.06,wheat
23,16,16,25.13,93.73,6.42,97.63,orange
77,53,27,18.62,56.64,6.27,115.99,maize
82,50,32,21.67,64.38,6.01,86.12,maize
43,69,83,18.67,23.39,6.62,64.85,chickpea
118,58,25,23.54,83.58,6.84,80.51,cotton
20,52,22,25.04,23.71,6.76,97.12,kidneybeans
76,64,39,21.28,57.98,7.16,79.2,barley
96,26,25,25.34,53.79,6.71,159.68,coffee
17,53,18,23.42,60.8,6.85,55.33,mothbeans
51,42,48,27.09,59.19,6.48,63.23,tomato
19,6,31,29.79,86.61,6.24,45.17,pomegranate
49,46,40,23.38,46.85,6.95,53.31,sunflower
78,65,34,19.87,54.4,5.3,66.24,maize
35,40,40,20.07,40.19,6.41,59.39,sunflower
63,45,24,16.64,40.61,6.17,115.21,wheat
36,142,200,24.6,87.09,7.26,101.15,apple
11,58,20,17.32,54.11,6.82,30.31,lentil
27,55,22,22.85,53.96,6.57,54.28,mothbeans
52,42,38,24.43,47.37,7.02,49.16,sunflower
74,44,27,21.75,54.47,6.58,91.24,maize
57,48,55,27.49,69.73,5.24,71.28,tomato
8,61,27,18.94,20.87,5.95,111.62,kidneybeans
74,32,36,24.3,83.05,6.54,221.98,jute
38,65,18,32.93,58.21,6.56,76.87,blackgram
53,49,32,14.69,61.44,7.36,118.37,wheat
26,50,18,25.15,83.29,6.1,50.48,mungbean
124,57,18,25.46,83.96,7.94,82.17,cotton
58,49,41,28.31,66.12,6.72,52.75,tomato
43,79,24,28.61,60.42,6.42,53.72,groundnut
73,49,26,19.92,62.14,5.94,92.29,maize
26,54,22,19.67,21.08,5.41,144.98,kidneybeans
89,14,63,26.14,89.03,6.02,54.48,watermelon
16,137,183,23.65,89.33,5.3,59.67,grapes
21,18,32,29.34,45.0,5.25,110.98,mango
59,34,34,17.86,61.95,6.7,107.04,wheat
36,58,23,27.7,63.41,7.15,50.58,blackgram
85,48,49,25.61,81.93,6.12,200.83,jute
116,45,28,20.87,81.02,7.18,87.8,cotton
63,55,29,15.1,54.6,8.05,63.32,barley
100,16,29,25.38,68.26,6.06,154.74,coffee
24,134,190,25.92,85.89,5.63,82.81,grapes
41,58,24,31.09,65.55,6.05,57.16,groundnut
10,44,26,25.7,81.98,6.32,37.85,mungbean
25,10,43,27.81,94.58,5.57,161.39,coconut
38,61,18,25.37,74.57,7.04,84.31,blackgram
20,38,18,28.1,86.34,6.05,61.97,mungbean
34,65,89,18.58,14.34,7.19,58.47,chickpea
25,67,22,25.46,21.58,6.12,111.23,kidneybeans
100,21,51,29.57,91.38,6.48,60.42,watermelon
29,10,19,27.73,92.91,6.43,197.4,coconut
90,23,40,22.54,97.61,5.84,26.47,muskmelon
87,45,34,22.04,59.51,6.52,88.19,maize
15,46,20,20.84,29.45,5.16,137.32,kidneybeans
48,58,56,20.57,79.21,5.97,79.35,potato
25,11,34,22.95,90.34,6.5,142.37,coconut
69,28,38,16.98,62.39,6.59,81.29,barley
37,70,79,16.73,14.15,7.13,52.24,chickpea
67,55,51,23.14,66.18,5.45,80.84,potato
56,34,37,26.94,41.2,6.74,65.39,sunflower
22,56,13,31.24,85.19,6.94,49.3,mungbean
73,48,52,22.54,69.38,5.92,62.85,potato
7,59,22,23.5,77.61,7.17,42.63,mungbean
123,49,9,30.3,77.12,6.63,76.17,cotton
64,45,47,25.01,66.95,6.52,65.73,tomato
35,62,86,14.69,18.1,7.49,67.3,chickpea
74,51,33,20.1,55.39,6.85,151.2,wheat
19,55,14,33.45,46.36,7.06,44.73,mothbeans
34,67,21,29.13,61.25,6.33,61.21,groundnut
77,28,46,26.02,88.17,7.32,163.5,jute
93,11,56,28.96,93.2,6.25,22.77,muskmelon
64,61,31,14.84,60.56,7.34,75.59,barley
35,52,27,31.66,59.38,7.44,72.01,blackgram
30,140,215,22.28,89.99,5.3,109.4,apple
107,46,22,25.33,75.67,6.04,85.2,cotton
36,54,49,28.18,67.28,6.53,81.29,tomato
46,63,70,16.65,23.29,6.79,80.38,chickpea
23,10,3,22.07,91.27,8.03,118.15,orange
22,10,18,26.73,96.69,5.92,164.16,coconut
53,68,51,35.44,92.47,7.08,118.46,papaya
57,49,39,23.0,40.17,6.57,65.97,sunflower
55,42,48,20.95,61.94,6.83,64.22,onion
22,79,22,16.85,60.9,7.62,81.52,lentil
25,64,81,19.35,14.45,7.01,37.68,chickpea
71,46,41,13.96,52.23,7.28,86.86,wheat
107,23,52,24.02,89.2,6.47,55.5,watermelon
22,14,11,30.03,94.18,7.5,111.42,orange
23,135,206,20.27,87.47,7.64,107.88,apple
67,25,35,27.4,73.67,6.3,82.63,maize
83,54,30,25.26,61.25,6.6,95.51,maize
14,11,36,19.66,91.53,5.98,25.43,pomegranate
59,56,42,25.9,63.53,5.95,77.17,tomato
13,55,25,31.13,49.34,7.08,44.6,mothbeans
56,57,58,21.87,69.16,7.08,82.45,onion
46,84,88,15.81,18.81,6.48,83.59,chickpea
68,75,29,16.57,49.7,7.17,80.29,barley
25,27,25,36.77,44.0,4.72,106.88,mango
26,49,20,25.47,46.24,6.4,55.4,mothbeans
76,45,31,21.67,76.45,7.38,248.07,rice
23,10,42,22.02,91.92,5.22,25.8,pomegranate
62,37,38,24.86,85.14,6.86,131.69,jute
36,32,35,22.25,53.02,6.72,63.39,sunflower
21,63,19,25.01,42.46,7.61,46.78,lentil
21,130,194,21.01,92.24,6.02,121.42,apple
27,62,22,23.95,61.9,6.46,95.71,groundnut
62,57,24,26.93,65.22,5.84,78.8,tomato
37,67,15,28.21,40.42,6.06,68.82,groundnut
41,68,22,30.64,63.69,6.61,63.41,groundnut
17,30,39,29.74,36.68,4.8,97.74,mango
64,42,41,15.06,63.27,6.12,120.58,wheat
121,54,19,24.45,79.53,7.32,69.98,cotton
31,76,19,29.83,68.53,7.38,79.46,blackgram
56,57,50,35.22,86.73,7.03,120.85,papaya
30,37,19,25.18,22.61,6.18,121.5,kidneybeans
20,70,29,26.55,52.6,4.92,82.16,pigeonpeas
17,70,24,19.33,58.52,7.53,40.84,lentil
31,58,20,26.6,50.68,6.56,59.98,groundnut
54,51,41,21.03,68.71,6.32,75.75,tomato
66,53,51,18.71,76.22,5.96,82.67,potato
85,47,41,24.16,83.6,6.81,184.99,jute
69,50,37,24.08,66.24,6.02,77.59,maize
71,46,40,22.34,54.93,6.66,79.98,maize
59,62,53,17.37,59.45,5.94,73.71,potato
85,62,41,26.92,70.19,6.24,65.97,maize
67,49,44,18.53,49.32,6.95,112.21,wheat
77,50,35,25.56,89.66,6.45,232.05,rice
22,121,201,21.32,93.95,5.77,135.78,apple
25,75,24,26.62,41.36,5.63,133.92,pigeonpeas
41,40,28,20.52,63.47,5.93,65.87,sunflower
13,72,6,18.11,46.09,7.12,50.23,lentil
51,43,54,21.82,62.24,6.42,45.35,onion
95,23,33,27.2,49.93,6.7,145.45,coffee
41,55,32,22.07,50.6,6.26,74.28,tomato
13,9,47,27.28,89.61,6.52,62.11,pomegranate
15,136,205,20.97,74.35,6.77,89.14,grapes
90,76,49,26.65,86.69,5.72,73.01,banana
65,51,49,16.49,71.06,6.19,73.58,potato
25,51,16,34.54,85.97,6.44,59.64,mungbean
52,30,24,20.23,53.17,6.14,56.45,sunflower
41,49,84,18.89,20.19,7.42,80.51,chickpea
21,58,25,21.72,44.36,6.03,48.55,lentil
27,45,28,28.18,55.28,7.29,54.57,mothbeans
26,64,14,21.04,50.69,6.98,51.92,lentil
35,82,15,25.94,69.41,6.17,67.65,blackgram
21,8,38,22.48,89.98,6.87,44.87,pomegranate
68,56,59,26.18,48.25,7.27,61.36,tomato
16,8,11,27.8,93.07,6.56,189.75,coconut
96,15,27,25.4,64.09,5.7,159.65,coffee
10,15,28,32.74,41.0,5.26,108.42,mango
19,27,31,33.68,51.9,5.19,85.92,mango
79,57,27,16.72,54.32,6.83,81.72,maize
118,51,22,25.71,86.94,6.55,72.9,cotton
20,47,18,27.07,77.26,6.61,49.6,mungbean
32,85,87,17.29,22.68,6.56,62.63,chickpea
53,65,21,32.09,57.42,6.3,65.8,groundnut
60,23,40,20.14,44.0,6.63,45.1,sunflower
24,12,9,27.36,95.52,6.79,139.4,orange
89,75,61,29.24,81.15,5.87,105.38,banana
115,19,51,25.8,86.71,7.15,44.72,watermelon
25,75,20,20.69,58.59,6.91,59.04,lentil
117,52,18,19.58,79.18,6.66,87.38,cotton
18,57,22,17.5,67.47,7.09,44.19,lentil
52,48,44,14.42,43.33,6.35,64.6,sunflower
15,74,12,18.1,54.77,6.48,47.64,lentil
17,13,9,25.16,92.38,7.22,107.41,orange
90,17,33,24.05,86.13,6.75,43.27,watermelon
43,50,33,20.85,66.89,6.76,69.25,sunflower
83,43,25,24.52,84.85,7.31,180.95,jute
23,16,9,26.61,89.14,6.66,110.93,orange
22,45,19,28.44,81.19,6.58,65.3,mungbean
