State_Name,District_Name,Crop,Year,Area,Production
West Bengal,Hooghly,Rice,2018,32991.84,27910.84
Andhra Pradesh,Krishna,Groundnut,2014,38439.53,116109.09
Tamil Nadu,Madurai,Banana,2017,32488.06,100118.45
Haryana,Sonipat,Rice,2023,2722.56,3253.07
Karnataka,Bangalore,Mango,2020,15585.71,49157.89
Karnataka,Raichur,Maize,2013,47265.71,145480.21
Karnataka,Hassan,Mango,2021,26962.95,28945.67
Gujarat,Rajkot,Banana,2011,13459.95,51188.87
West Bengal,Hooghly,Rice,2020,19926.36,86113.08
Maharashtra,Pune,Wheat,2012,23844.27,19992.12
Odisha,Ganjam,Rice,2018,5612.25,14045.49
Gujarat,Bharuch,Mango,2012,17515.21,19957.33
Madhya Pradesh,Indore,Lentil,2018,19236.89,81604.71
Punjab,Jalandhar,Barley,2023,11482.53,36051.41
Odisha,Cuttack,Coconut,2021,49998.71,150124.34
Assam,Sonitpur,Rice,2022,20190.76,66816.76
West Bengal,Hooghly,Wheat,2014,9049.1,36900.54
Gujarat,Ahmedabad,Rice,2016,31020.57,52545.27
Andhra Pradesh,Krishna,Chickpea,2019,43638.44,100087.43
Andhra Pradesh,Guntur,Chickpea,2013,4166.64,16226.96
Haryana,Ambala,Wheat,2015,15444.72,69322.64
Karnataka,Hassan,Groundnut,2011,27530.09,81179.92
Odisha,Puri,Rice,2022,41722.77,175634.66
Kerala,Ernakulam,Papaya,2023,42653.53,156092.13
Karnataka,Bangalore,Coffee,2010,43800.56,84107.29
Tamil Nadu,Coimbatore,Mango,2010,30910.87,38730.73
Gujarat,Bharuch,Banana,2013,48550.35,143743.32
Haryana,Ambala,Wheat,2019,22627.87,75361.89
Punjab,Patiala,Potato,2011,46020.54,97590.89
Maharashtra,Aurangabad,Wheat,2018,19048.72,38881.12
West Bengal,Kolkata,Coconut,2013,4571.06,13044.15
Gujarat,Ahmedabad,Potato,2023,41402.18,40608.04
Uttar Pradesh,Varanasi,Maize,2016,28361.66,83887.94
Tamil Nadu,Thanjavur,Coconut,2018,29673.37,54560.56
Uttar Pradesh,Lucknow,Maize,2014,25600.45,100360.17
Telangana,Warangal,Mango,2016,18792.84,40366.91
Gujarat,Bharuch,Mango,2020,6522.76,12825.53
West Bengal,Kolkata,Potato,2010,42905.27,151625.16
Kerala,Ernakulam,Papaya,2011,9716.32,21574.93
Maharashtra,Nashik,Wheat,2014,10879.1,30459.99
Madhya Pradesh,Bhopal,Groundnut,2011,36828.07,138313.45
Tamil Nadu,Coimbatore,Mango,2018,38080.78,46438.91
Maharashtra,Kolhapur,Mango,2015,16682.17,71582.7
Uttar Pradesh,Kanpur,Rice,2018,13259.5,34662.47
Karnataka,Belgaum,Coconut,2021,40196.85,84047.28
Maharashtra,Aurangabad,Wheat,2013,31719.64,44022.61
Tamil Nadu,Coimbatore,Coconut,2022,20238.89,25932.13
Assam,Dibrugarh,Maize,2012,6804.87,8267.8
Assam,Nagaon,Banana,2018,23192.95,95782.53
Punjab,Sangrur,Sunflower,2021,3482.65,14296.85
Andhra Pradesh,Krishna,Maize,2017,21932.03,20165.7
Kerala,Alappuzha,Rice,2015,7405.39,8939.53
Madhya Pradesh,Indore,Cotton,2015,23821.15,35206.13
Bihar,Bhagalpur,Wheat,2020,31511.96,118640.78
Gujarat,Surat,Wheat,2019,33030.24,77625.22
Rajasthan,Jodhpur,Groundnut,2013,13015.53,45113.56
Gujarat,Junagadh,Cotton,2022,34876.57,133745.31
Himachal Pradesh,Kullu,Maize,2010,49468.4,170890.41
Haryana,Ambala,Rice,2010,28080.07,104083.72
Maharashtra,Nashik,Tomato,2023,32736.35,104035.19
Karnataka,Raichur,Coffee,2020,47813.93,50799.92
Madhya Pradesh,Sagar,Cotton,2022,27426.5,79399.29
Maharashtra,Nashik,Groundnut,2023,20892.14,86241.05
Rajasthan,Udaipur,Mungbean,2023,22208.39,34039.28
Haryana,Hisar,Potato,2010,37866.34,107965.4
Karnataka,Belgaum,Coconut,2022,17079.11,67169.26
Haryana,Hisar,Wheat,2020,16906.18,50142.9
Madhya Pradesh,Bhopal,Wheat,2010,3250.34,10729.68
Gujarat,Ahmedabad,Cotton,2013,21417.84,66642.04
Andhra Pradesh,East Godavari,Onion,2021,42949.42,160528.51
Uttar Pradesh,Lucknow,Potato,2013,35571.46,117623.72
Karnataka,Mysore,Cotton,2017,26396.07,24047.84
Himachal Pradesh,Mandi,Maize,2021,30441.48,136920.27
Assam,Nagaon,Coconut,2010,14116.81,28392.2
Gujarat,Surat,Banana,2012,23773.27,78613.19
Gujarat,Ahmedabad,Onion,2014,3470.54,10747.15
Kerala,Thrissur,Banana,2018,41136.88,57716.13
Tamil Nadu,Madurai,Mango,2012,24888.43,52989.34
Andhra Pradesh,Kurnool,Maize,2019,14776.14,65593.43
Andhra Pradesh,Anantapur,Banana,2010,13436.67,27808.55
Maharashtra,Aurangabad,Groundnut,2015,12235.53,16026.53
Madhya Pradesh,Ujjain,Groundnut,2010,15910.47,46599.58
Andhra Pradesh,Guntur,Banana,2016,45742.37,135545.0
Bihar,Gaya,Rice,2017,15396.06,64733.11
Himachal Pradesh,Kullu,Maize,2012,36501.81,134243.18
Gujarat,Junagadh,Onion,2015,10604.25,39789.69
Haryana,Sonipat,Rice,2019,40792.04,104211.16
Haryana,Karnal,Cotton,2012,47807.29,131834.0
Rajasthan,Udaipur,Barley,2017,37675.09,137679.07
Assam,Dibrugarh,Rice,2021,11874.92,23851.31
Bihar,Gaya,Potato,2017,25622.91,83922.59
Madhya Pradesh,Bhopal,Chickpea,2022,15316.35,48210.47
Gujarat,Rajkot,Onion,2012,31056.43,24847.5
Maharashtra,Kolhapur,Cotton,2021,48711.53,143393.55
Bihar,Bhagalpur,Lentil,2011,22436.04,59311.44
Rajasthan,Jaipur,Barley,2013,16892.29,42290.87
Karnataka,Mysore,Coconut,2019,31906.83,116365.13
Andhra Pradesh,East Godavari,Chickpea,2021,23565.07,30574.9
Haryana,Rohtak,Rice,2012,38148.97,146305.58
Assam,Sonitpur,Potato,2011,14426.12,16623.32
Madhya Pradesh,Indore,Wheat,2019,34695.41,30510.62
Maharashtra,Nagpur,Onion,2015,34231.29,52102.29
Himachal Pradesh,Kullu,Wheat,2018,35217.92,64044.79
West Bengal,Burdwan,Wheat,2012,4977.46,21870.98
Assam,Kamrup,Maize,2013,11606.44,24540.22
Bihar,Bhagalpur,Lentil,2019,12146.55,29867.83
Rajasthan,Udaipur,Wheat,2010,13776.13,27393.08
Gujarat,Rajkot,Groundnut,2011,11420.88,29923.41
Karnataka,Mysore,Maize,2015,10502.14,41055.03
Uttar Pradesh,Meerut,Lentil,2015,12439.32,19960.93
Telangana,Warangal,Maize,2018,7961.41,25030.8
Himachal Pradesh,Kullu,Wheat,2010,21820.19,27645.6
Telangana,Karimnagar,Groundnut,2013,15857.92,52201.61
Gujarat,Bharuch,Onion,2013,47898.2,68959.44
Haryana,Hisar,Rice,2017,28511.9,26613.61
Bihar,Muzaffarpur,Onion,2014,11880.85,51072.57
Telangana,Nalgonda,Rice,2013,37224.22,105384.41
Rajasthan,Udaipur,Mungbean,2010,43692.14,146216.87
Maharashtra,Pune,Mango,2012,1557.37,4761.7
Gujarat,Surat,Wheat,2012,48047.3,195802.98
Kerala,Thrissur,Rice,2022,35087.63,99134.28
Assam,Nagaon,Coconut,2015,15197.41,17590.99
Madhya Pradesh,Ujjain,Potato,2013,3938.62,7903.28
Kerala,Thrissur,Coconut,2018,19058.99,24563.76
Rajasthan,Kota,Mungbean,2021,1986.12,3870.92
Punjab,Amritsar,Barley,2019,5909.73,10340.19
Madhya Pradesh,Ujjain,Lentil,2011,805.3,3122.61
Himachal Pradesh,Mandi,Wheat,2019,30826.47,129580.91
Rajasthan,Jodhpur,Mothbeans,2023,41432.56,165592.94
Himachal Pradesh,Mandi,Barley,2016,44181.83,145530.35
Maharashtra,Pune,Cotton,2015,46735.17,155332.95
Bihar,Patna,Banana,2019,16327.85,58180.38
Gujarat,Surat,Cotton,2016,27573.68,35226.87
Assam,Sonitpur,Coconut,2012,9253.28,34967.63
Punjab,Amritsar,Maize,2017,13464.47,11300.04
Tamil Nadu,Chennai,Coconut,2012,46382.57,126751.81
Bihar,Muzaffarpur,Onion,2018,26556.47,86925.34
Andhra Pradesh,Guntur,Maize,2012,47118.39,212013.76
West Bengal,Kolkata,Potato,2020,47520.43,164402.83
Bihar,Gaya,Onion,2019,32556.29,72091.07
Odisha,Balasore,Jute,2021,39148.65,165742.65
Telangana,Karimnagar,Mango,2010,30103.72,38008.79
Bihar,Muzaffarpur,Maize,2023,27191.78,81279.02
Madhya Pradesh,Sagar,Onion,2022,11699.98,44916.68
Bihar,Muzaffarpur,Lentil,2012,27295.84,111518.4
West Bengal,Murshidabad,Potato,2018,17074.26,18550.23
Odisha,Ganjam,Coconut,2022,32533.56,82151.08
Assam,Dibrugarh,Rice,2013,46764.02,103629.69
Odisha,Ganjam,Coconut,2014,41852.59,97457.85
Rajasthan,Kota,Chickpea,2012,5627.14,7032.91
Telangana,Warangal,Maize,2019,13013.69,35103.33
Assam,Nagaon,Coconut,2017,3415.67,13068.8
Odisha,Puri,Coconut,2012,36218.96,54856.18
Maharashtra,Nagpur,Mango,2018,9996.63,13846.86
Gujarat,Junagadh,Mango,2017,43599.66,91390.18
Madhya Pradesh,Jabalpur,Onion,2016,26897.53,47998.82
Andhra Pradesh,Anantapur,Banana,2018,34143.83,29416.48
Gujarat,Junagadh,Wheat,2020,49281.6,45680.62
Uttar Pradesh,Kanpur,Tomato,2010,23179.54,21965.91
Kerala,Ernakulam,Banana,2010,7632.22,15960.92
Haryana,Sonipat,Barley,2014,26875.77,103573.52
Gujarat,Rajkot,Mango,2013,8635.22,6935.31
Karnataka,Hassan,Rice,2018,30458.23,115154.94
Bihar,Patna,Rice,2012,12381.66,46434.8
Andhra Pradesh,Kurnool,Cotton,2011,35480.36,71403.49
Kerala,Alappuzha,Banana,2017,27474.38,55932.11
Karnataka,Bangalore,Tomato,2020,5008.81,14803.9
Himachal Pradesh,Shimla,Wheat,2020,26141.92,36184.95
Karnataka,Belgaum,Cotton,2016,3538.92,13530.78
Tamil Nadu,Salem,Mango,2017,17619.72,49435.95
Rajasthan,Jaipur,Groundnut,2020,9655.5,40340.33
Gujarat,Rajkot,Rice,2013,20275.56,90706.77
Karnataka,Bangalore,Rice,2019,9829.95,17161.88
Madhya Pradesh,Jabalpur,Onion,2020,37712.35,96756.62
Karnataka,Raichur,Coffee,2013,25505.59,104859.3
Haryana,Ambala,Sunflower,2019,6469.02,17539.3
Haryana,Sonipat,Sunflower,2013,22130.09,66738.7
Bihar,Nalanda,Rice,2013,5581.32,4489.5
Rajasthan,Bikaner,Groundnut,2015,42953.44,38320.65
Telangana,Karimnagar,Rice,2019,40785.16,111339.92
Rajasthan,Udaipur,Wheat,2022,44049.2,161042.48
Haryana,Karnal,Sunflower,2017,38631.89,133594.48
Haryana,Sonipat,Chickpea,2016,45290.18,137145.03
Gujarat,Rajkot,Cotton,2019,28660.79,71509.86
Madhya Pradesh,Jabalpur,Lentil,2019,23804.14,35533.99
Himachal Pradesh,Shimla,Apple,2012,5963.21,22443.4
Telangana,Hyderabad,Cotton,2018,48835.3,77889.35
Karnataka,Belgaum,Rice,2020,13123.18,27854.3
Odisha,Cuttack,Jute,2014,11628.44,34677.79
Punjab,Patiala,Maize,2012,6540.08,22306.06
Bihar,Muzaffarpur,Lentil,2016,20138.76,57876.89
Himachal Pradesh,Kullu,Barley,2012,21972.08,56251.9
Odisha,Ganjam,Groundnut,2020,23511.19,75169.57
Andhra Pradesh,East Godavari,Chickpea,2010,915.13,2589.06
Andhra Pradesh,Kurnool,Banana,2013,17628.3,17861.11
Maharashtra,Aurangabad,Wheat,2015,41123.43,103825.95
Uttar Pradesh,Kanpur,Onion,2016,39317.74,36491.34
Kerala,Alappuzha,Coconut,2017,34223.39,65993.72
Himachal Pradesh,Mandi,Potato,2011,27917.72,107479.66
Andhra Pradesh,Guntur,Maize,2011,38585.57,80489.15
Andhra Pradesh,Anantapur,Onion,2012,13139.3,15569.18
Haryana,Hisar,Rice,2022,8197.81,25458.38
Tamil Nadu,Chennai,Rice,2011,43012.19,42288.94
Punjab,Ludhiana,Maize,2016,13707.34,54041.11
Andhra Pradesh,Krishna,Onion,2013,7194.42,12432.73
Tamil Nadu,Salem,Rice,2013,9266.12,30516.18
Maharashtra,Pune,Rice,2020,37682.89,129373.74
Karnataka,Raichur,Maize,2022,21006.96,31827.56
Andhra Pradesh,East Godavari,Onion,2019,17718.94,78356.22
Uttar Pradesh,Agra,Wheat,2012,41028.82,84673.81
Punjab,Ludhiana,Rice,2021,40031.73,106643.29
Madhya Pradesh,Sagar,Wheat,2021,30492.81,32394.27
Punjab,Patiala,Potato,2015,29785.98,66181.78
Karnataka,Hassan,Rice,2014,49873.21,152910.09
Telangana,Karimnagar,Maize,2012,29736.94,54366.49
Rajasthan,Kota,Mothbeans,2014,23885.29,99630.94
Kerala,Alappuzha,Rice,2016,29608.78,59015.37
Odisha,Balasore,Rice,2012,18494.69,38602.78
Maharashtra,Pune,Wheat,2020,41359.1,161681.0
Assam,Dibrugarh,Jute,2012,28334.78,116011.88
Maharashtra,Nashik,Tomato,2021,45808.91,43758.13
Rajasthan,Udaipur,Wheat,2018,19226.09,20304.85
Madhya Pradesh,Jabalpur,Wheat,2018,21118.43,40525.78
Gujarat,Junagadh,Potato,2012,2677.95,9422.45
Uttar Pradesh,Lucknow,Potato,2016,8843.97,11308.16
Uttar Pradesh,Lucknow,Lentil,2016,6327.75,9360.42
Gujarat,Ahmedabad,Rice,2018,11692.54,10173.82
Haryana,Ambala,Cotton,2015,7048.63,29169.65
Odisha,Puri,Maize,2011,43102.92,192783.03
Telangana,Hyderabad,Groundnut,2014,49024.77,139812.5
Rajasthan,Jodhpur,Barley,2021,28156.96,73022.27
Tamil Nadu,Thanjavur,Tomato,2015,10755.26,33368.44
Tamil Nadu,Salem,Rice,2020,44873.4,198582.28
Tamil Nadu,Salem,Tomato,2022,30060.57,121839.82
Punjab,Sangrur,Rice,2014,15316.34,22991.07
Telangana,Warangal,Rice,2017,17434.57,34604.36
Rajasthan,Kota,Mothbeans,2016,42636.6,86799.5
Rajasthan,Bikaner,Mungbean,2011,37115.35,110893.57
Bihar,Nalanda,Maize,2017,6021.66,21212.26
Telangana,Karimnagar,Chickpea,2014,36576.44,107699.27
Telangana,Hyderabad,Rice,2012,35681.39,152030.34
Assam,Nagaon,Banana,2019,12817.16,21615.81
Uttar Pradesh,Varanasi,Rice,2013,44868.99,143907.93
Bihar,Gaya,Onion,2010,37695.19,50588.63
Kerala,Kozhikode,Banana,2020,27554.53,67354.62
Tamil Nadu,Thanjavur,Banana,2012,14070.13,44481.29
Tamil Nadu,Salem,Rice,2019,30041.44,87148.25
Tamil Nadu,Madurai,Groundnut,2023,23012.93,43646.22
Assam,Sonitpur,Maize,2020,33449.55,106716.2
Telangana,Warangal,Chickpea,2017,36646.06,127019.9
Andhra Pradesh,Krishna,Chickpea,2017,15411.3,59738.49
Punjab,Ludhiana,Sunflower,2022,22318.49,50709.0
Uttar Pradesh,Meerut,Potato,2022,26333.1,41488.12
Uttar Pradesh,Kanpur,Tomato,2013,28802.69,51828.17
Uttar Pradesh,Agra,Wheat,2015,7673.62,13532.89
Haryana,Ambala,Potato,2015,10085.93,22985.1
Telangana,Karimnagar,Groundnut,2023,25627.53,94774.1
Karnataka,Mysore,Maize,2012,15137.6,12626.46
Karnataka,Belgaum,Maize,2020,21014.14,83097.47
Bihar,Gaya,Wheat,2018,30821.25,119461.6
Himachal Pradesh,Shimla,Maize,2016,4625.22,19617.89
Bihar,Muzaffarpur,Banana,2016,2143.27,9261.83
Tamil Nadu,Salem,Banana,2020,46876.72,39769.22
Haryana,Ambala,Potato,2017,30391.0,129532.05
Maharashtra,Pune,Pomegranate,2022,21216.6,69485.46
Uttar Pradesh,Meerut,Onion,2019,5928.52,6384.66
Tamil Nadu,Chennai,Tomato,2019,48022.22,57949.49
Rajasthan,Bikaner,Groundnut,2022,10871.71,9022.11
Haryana,Ambala,Sunflower,2015,39179.59,165433.32
Uttar Pradesh,Lucknow,Wheat,2017,42908.75,170885.87
Maharashtra,Nashik,Mango,2022,3563.07,8841.43
Uttar Pradesh,Kanpur,Tomato,2019,1698.63,3338.36
Tamil Nadu,Chennai,Tomato,2016,9685.91,31679.95
Kerala,Alappuzha,Rice,2011,17154.52,32085.21
Tamil Nadu,Thanjavur,Coconut,2017,9428.13,12623.63
Gujarat,Junagadh,Banana,2010,43149.35,134415.31
Punjab,Amritsar,Wheat,2014,7498.07,8607.51
West Bengal,Burdwan,Potato,2019,38081.04,117182.41
West Bengal,Burdwan,Rice,2011,13336.58,51489.4
Kerala,Alappuzha,Papaya,2012,28232.65,101489.54
Haryana,Ambala,Chickpea,2010,3799.71,8515.03
Telangana,Nalgonda,Chickpea,2011,5158.52,13422.98
Punjab,Patiala,Rice,2013,4497.93,13996.04
Bihar,Patna,Onion,2021,32630.82,142653.21
Tamil Nadu,Madurai,Coconut,2014,7044.52,13907.92
Maharashtra,Aurangabad,Mango,2016,26869.59,41730.58
Rajasthan,Udaipur,Barley,2022,8508.39,10229.07
Bihar,Gaya,Maize,2022,35259.84,98510.11
Maharashtra,Nashik,Tomato,2022,41780.93,50669.98
Telangana,Hyderabad,Rice,2023,14673.3,41777.77
West Bengal,Kolkata,Jute,2021,49858.28,105423.77
Tamil Nadu,Thanjavur,Coconut,2015,25084.98,47085.08
Punjab,Ludhiana,Barley,2020,30951.2,50793.89
Bihar,Nalanda,Rice,2022,29863.83,105674.89
Punjab,Sangrur,Wheat,2010,35244.94,71226.85
Maharashtra,Nashik,Mango,2010,10905.5,30760.02
Haryana,Karnal,Sunflower,2012,30942.79,39860.4
Andhra Pradesh,Anantapur,Chickpea,2012,12092.12,14037.09
West Bengal,Murshidabad,Wheat,2018,29310.53,122673.22
Kerala,Kozhikode,Papaya,2022,43181.24,165625.35
Haryana,Karnal,Potato,2020,31988.74,54783.29
Madhya Pradesh,Bhopal,Groundnut,2015,7834.35,11695.96
Tamil Nadu,Coimbatore,Cotton,2012,25268.4,24608.56
Haryana,Hisar,Cotton,2013,43299.5,38851.45
Tamil Nadu,Madurai,Cotton,2023,35943.65,58211.85
Tamil Nadu,Madurai,Banana,2019,1133.96,1668.77
Himachal Pradesh,Shimla,Apple,2020,10236.76,13287.11
Maharashtra,Nashik,Pomegranate,2016,29624.25,65209.47
Bihar,Nalanda,Banana,2022,27314.2,93903.36
Tamil Nadu,Chennai,Cotton,2013,18716.61,58288.01
Telangana,Karimnagar,Chickpea,2016,14697.72,30207.59
Maharashtra,Pune,Onion,2018,5849.37,5529.03
Madhya Pradesh,Ujjain,Lentil,2013,29004.38,90094.56
Bihar,Gaya,Maize,2019,12028.29,42398.19
Uttar Pradesh,Varanasi,Maize,2015,8030.84,25599.35
Bihar,Patna,Rice,2010,33436.42,120608.48
Kerala,Ernakulam,Papaya,2013,3437.7,8696.12
West Bengal,Burdwan,Wheat,2022,40196.14,115597.8
Andhra Pradesh,Guntur,Banana,2021,48215.09,209723.89
Uttar Pradesh,Varanasi,Lentil,2018,10416.58,43123.58
Punjab,Jalandhar,Sunflower,2023,48860.29,49436.63
Tamil Nadu,Coimbatore,Rice,2018,41461.26,73968.25
Andhra Pradesh,Krishna,Onion,2023,44416.24,138103.91
Telangana,Hyderabad,Maize,2021,23255.62,67688.17
Tamil Nadu,Thanjavur,Banana,2016,30109.34,103222.97
Telangana,Hyderabad,Maize,2011,1774.79,6483.5
West Bengal,Murshidabad,Jute,2019,42646.99,50103.43
Telangana,Warangal,Cotton,2023,21549.03,51842.69
Madhya Pradesh,Indore,Cotton,2023,37818.76,61695.96
Kerala,Alappuzha,Coffee,2012,40770.67,172786.24
Gujarat,Junagadh,Groundnut,2012,23822.72,34339.99
Karnataka,Bangalore,Mango,2016,28705.01,30077.24
Kerala,Alappuzha,Banana,2016,2436.22,2074.18
Karnataka,Hassan,Coffee,2021,21819.45,87916.22
Himachal Pradesh,Kullu,Maize,2013,1166.27,2334.13
Rajasthan,Udaipur,Chickpea,2013,33526.75,57896.46
Madhya Pradesh,Jabalpur,Chickpea,2020,37683.47,38446.87
Haryana,Ambala,Rice,2015,9516.83,16936.36
West Bengal,Nadia,Coconut,2011,24389.05,34782.49
Punjab,Jalandhar,Maize,2019,35876.73,39376.27
Haryana,Karnal,Potato,2014,49469.6,114476.14
Telangana,Karimnagar,Chickpea,2020,24007.12,94590.01
West Bengal,Burdwan,Jute,2014,14505.7,21648.11
Telangana,Karimnagar,Mango,2019,25418.45,109468.44
Himachal Pradesh,Kangra,Wheat,2014,29790.51,47818.62
Kerala,Kozhikode,Rice,2014,14909.69,25448.63
Karnataka,Raichur,Coconut,2010,37596.55,150537.96
Madhya Pradesh,Indore,Wheat,2013,46311.99,161664.72
Telangana,Karimnagar,Groundnut,2016,17793.58,34270.11
Maharashtra,Aurangabad,Wheat,2019,49284.68,74039.13
Gujarat,Junagadh,Wheat,2015,5578.03,19566.24
Bihar,Nalanda,Potato,2012,49049.97,155046.03
Gujarat,Rajkot,Wheat,2010,47625.98,154209.01
Tamil Nadu,Madurai,Mango,2021,37402.94,90646.53
Punjab,Ludhiana,Potato,2017,20076.63,57970.55
Tamil Nadu,Coimbatore,Mango,2011,26660.86,53660.56
Uttar Pradesh,Kanpur,Rice,2017,37190.82,43610.08
Madhya Pradesh,Ujjain,Chickpea,2017,34766.96,80406.23
Haryana,Hisar,Sunflower,2020,36531.03,150746.72
Tamil Nadu,Salem,Mango,2014,11591.32,31054.84
Tamil Nadu,Thanjavur,Cotton,2019,6293.94,22361.77
Haryana,Rohtak,Wheat,2017,43408.03,55754.5
Andhra Pradesh,Guntur,Mango,2012,47625.2,161284.83
Punjab,Patiala,Sunflower,2010,34006.09,45268.1
Uttar Pradesh,Agra,Chickpea,2022,34819.49,120651.07
Gujarat,Junagadh,Mango,2011,1733.36,3062.0
Bihar,Patna,Potato,2023,2862.24,5808.88
Bihar,Bhagalpur,Banana,2017,25199.98,29098.87
West Bengal,Hooghly,Banana,2021,36121.52,35322.17
Gujarat,Junagadh,Banana,2018,22400.4,76093.99
Tamil Nadu,Salem,Tomato,2021,5309.41,18876.01
Rajasthan,Kota,Barley,2019,36501.84,54058.2
Rajasthan,Kota,Mungbean,2018,11814.32,36791.39
Rajasthan,Bikaner,Groundnut,2011,32180.15,123292.37
Maharashtra,Kolhapur,Pomegranate,2018,12799.0,38960.84
Tamil Nadu,Chennai,Rice,2014,15007.49,13789.07
Telangana,Nalgonda,Rice,2018,21665.25,23195.18
Bihar,Patna,Wheat,2021,28429.46,63824.89
Assam,Sonitpur,Rice,2011,48879.46,107749.96
Telangana,Hyderabad,Maize,2013,14493.16,35677.72
Odisha,Ganjam,Coconut,2017,22234.46,40149.92
Assam,Dibrugarh,Coconut,2016,17546.93,35140.16
West Bengal,Murshidabad,Rice,2023,39299.02,128329.61
Karnataka,Bangalore,Coffee,2018,33956.4,134160.11
Karnataka,Mysore,Tomato,2012,43647.06,162718.43
Tamil Nadu,Madurai,Groundnut,2011,7164.1,7147.46
Andhra Pradesh,Krishna,Cotton,2014,49747.26,66973.22
Punjab,Patiala,Potato,2014,6887.65,8264.18
Punjab,Jalandhar,Cotton,2011,49295.42,130781.89
Bihar,Nalanda,Banana,2015,42871.44,87358.0
Haryana,Rohtak,Rice,2018,48968.7,70878.4
Odisha,Puri,Groundnut,2014,20582.67,23062.78
Maharashtra,Nashik,Onion,2010,23023.08,32601.79
Tamil Nadu,Thanjavur,Cotton,2018,4387.12,17950.22
Andhra Pradesh,East Godavari,Groundnut,2013,26973.99,115754.8
Karnataka,Bangalore,Coconut,2023,40354.81,77291.91
Bihar,Muzaffarpur,Wheat,2010,16299.79,30128.99
Haryana,Hisar,Barley,2015,31547.52,92959.08
Karnataka,Bangalore,Coffee,2019,3182.94,10659.6
Karnataka,Raichur,Cotton,2015,36138.16,109115.06
Bihar,Nalanda,Wheat,2014,15101.63,15095.88
Telangana,Hyderabad,Mango,2011,25634.82,48702.88
Tamil Nadu,Thanjavur,Tomato,2018,24169.13,58064.47
Maharashtra,Aurangabad,Cotton,2023,30827.04,80577.29
Gujarat,Ahmedabad,Wheat,2014,14130.85,49502.85
Himachal Pradesh,Kullu,Wheat,2021,4003.3,3537.62
Punjab,Patiala,Sunflower,2018,45823.38,103087.16
Assam,Nagaon,Maize,2016,19147.37,56479.67
Haryana,Hisar,Chickpea,2012,4729.97,6495.95
Gujarat,Ahmedabad,Rice,2015,42232.39,41833.09
Uttar Pradesh,Meerut,Rice,2021,1575.61,6535.22
Assam,Sonitpur,Potato,2017,26372.98,74208.45
West Bengal,Nadia,Coconut,2015,26733.43,83214.75
Odisha,Puri,Coconut,2011,3616.91,10851.78
Andhra Pradesh,Anantapur,Banana,2023,49436.21,51720.58
Uttar Pradesh,Meerut,Potato,2023,27649.13,104352.49
Haryana,Rohtak,Chickpea,2019,21139.44,53098.02
Andhra Pradesh,Anantapur,Maize,2016,14623.31,40452.7
